Timestamp: (08/03/2025 11:33:48PM)
Number of processes in memory: 1
Total external fragmentation in KB: 16384
Frame 0: [Free]
Frame 1: [Free]
Frame 2: [Free]
Frame 3: [Free]
Frame 4: [Free]
Frame 5: [Free]
Frame 6: [Free]
Frame 7: [Free]
Frame 8: [Free]
Frame 9: [Free]
Frame 10: [Free]
Frame 11: [Free]
Frame 12: [Free]
Frame 13: [Free]
Frame 14: [Free]
Frame 15: [Free]
Frame 16: [Free]
Frame 17: [Free]
Frame 18: [Free]
Frame 19: [Free]
Frame 20: [Free]
Frame 21: [Free]
Frame 22: [Free]
Frame 23: [Free]
Frame 24: [Free]
Frame 25: [Free]
Frame 26: [Free]
Frame 27: [Free]
Frame 28: [Free]
Frame 29: [Free]
Frame 30: [Free]
Frame 31: [Free]
Frame 32: [Free]
Frame 33: [Free]
Frame 34: [Free]
Frame 35: [Free]
Frame 36: [Free]
Frame 37: [Free]
Frame 38: [Free]
Frame 39: [Free]
Frame 40: [Free]
Frame 41: [Free]
Frame 42: [Free]
Frame 43: [Free]
Frame 44: [Free]
Frame 45: [Free]
Frame 46: [Free]
Frame 47: [Free]
Frame 48: [Free]
Frame 49: [Free]
Frame 50: [Free]
Frame 51: [Free]
Frame 52: [Free]
Frame 53: [Free]
Frame 54: [Free]
Frame 55: [Free]
Frame 56: [Free]
Frame 57: [Free]
Frame 58: [Free]
Frame 59: [Free]
Frame 60: [Free]
Frame 61: [Free]
Frame 62: [Free]
Frame 63: [Free]
Frame 64: [Free]
Frame 65: [Free]
Frame 66: [Free]
Frame 67: [Free]
Frame 68: [Free]
Frame 69: [Free]
Frame 70: [Free]
Frame 71: [Free]
Frame 72: [Free]
Frame 73: [Free]
Frame 74: [Free]
Frame 75: [Free]
Frame 76: [Free]
Frame 77: [Free]
Frame 78: [Free]
Frame 79: [Free]
Frame 80: [Free]
Frame 81: [Free]
Frame 82: [Free]
Frame 83: [Free]
Frame 84: [Free]
Frame 85: [Free]
Frame 86: [Free]
Frame 87: [Free]
Frame 88: [Free]
Frame 89: [Free]
Frame 90: [Free]
Frame 91: [Free]
Frame 92: [Free]
Frame 93: [Free]
Frame 94: [Free]
Frame 95: [Free]
Frame 96: [Free]
Frame 97: [Free]
Frame 98: [Free]
Frame 99: [Free]
Frame 100: [Free]
Frame 101: [Free]
Frame 102: [Free]
Frame 103: [Free]
Frame 104: [Free]
Frame 105: [Free]
Frame 106: [Free]
Frame 107: [Free]
Frame 108: [Free]
Frame 109: [Free]
Frame 110: [Free]
Frame 111: [Free]
Frame 112: [Free]
Frame 113: [Free]
Frame 114: [Free]
Frame 115: [Free]
Frame 116: [Free]
Frame 117: [Free]
Frame 118: [Free]
Frame 119: [Free]
Frame 120: [Free]
Frame 121: [Free]
Frame 122: [Free]
Frame 123: [Free]
Frame 124: [Free]
Frame 125: [Free]
Frame 126: [Free]
Frame 127: [Free]
Frame 128: [Free]
Frame 129: [Free]
Frame 130: [Free]
Frame 131: [Free]
Frame 132: [Free]
Frame 133: [Free]
Frame 134: [Free]
Frame 135: [Free]
Frame 136: [Free]
Frame 137: [Free]
Frame 138: [Free]
Frame 139: [Free]
Frame 140: [Free]
Frame 141: [Free]
Frame 142: [Free]
Frame 143: [Free]
Frame 144: [Free]
Frame 145: [Free]
Frame 146: [Free]
Frame 147: [Free]
Frame 148: [Free]
Frame 149: [Free]
Frame 150: [Free]
Frame 151: [Free]
Frame 152: [Free]
Frame 153: [Free]
Frame 154: [Free]
Frame 155: [Free]
Frame 156: [Free]
Frame 157: [Free]
Frame 158: [Free]
Frame 159: [Free]
Frame 160: [Free]
Frame 161: [Free]
Frame 162: [Free]
Frame 163: [Free]
Frame 164: [Free]
Frame 165: [Free]
Frame 166: [Free]
Frame 167: [Free]
Frame 168: [Free]
Frame 169: [Free]
Frame 170: [Free]
Frame 171: [Free]
Frame 172: [Free]
Frame 173: [Free]
Frame 174: [Free]
Frame 175: [Free]
Frame 176: [Free]
Frame 177: [Free]
Frame 178: [Free]
Frame 179: [Free]
Frame 180: [Free]
Frame 181: [Free]
Frame 182: [Free]
Frame 183: [Free]
Frame 184: [Free]
Frame 185: [Free]
Frame 186: [Free]
Frame 187: [Free]
Frame 188: [Free]
Frame 189: [Free]
Frame 190: [Free]
Frame 191: [Free]
Frame 192: [Free]
Frame 193: [Free]
Frame 194: [Free]
Frame 195: [Free]
Frame 196: [Free]
Frame 197: [Free]
Frame 198: [Free]
Frame 199: [Free]
Frame 200: [Free]
Frame 201: [Free]
Frame 202: [Free]
Frame 203: [Free]
Frame 204: [Free]
Frame 205: [Free]
Frame 206: [Free]
Frame 207: [Free]
Frame 208: [Free]
Frame 209: [Free]
Frame 210: [Free]
Frame 211: [Free]
Frame 212: [Free]
Frame 213: [Free]
Frame 214: [Free]
Frame 215: [Free]
Frame 216: [Free]
Frame 217: [Free]
Frame 218: [Free]
Frame 219: [Free]
Frame 220: [Free]
Frame 221: [Free]
Frame 222: [Free]
Frame 223: [Free]
Frame 224: [Free]
Frame 225: [Free]
Frame 226: [Free]
Frame 227: [Free]
Frame 228: [Free]
Frame 229: [Free]
Frame 230: [Free]
Frame 231: [Free]
Frame 232: [Free]
Frame 233: [Free]
Frame 234: [Free]
Frame 235: [Free]
Frame 236: [Free]
Frame 237: [Free]
Frame 238: [Free]
Frame 239: [Free]
Frame 240: [Free]
Frame 241: [Free]
Frame 242: [Free]
Frame 243: [Free]
Frame 244: [Free]
Frame 245: [Free]
Frame 246: [Free]
Frame 247: [Free]
Frame 248: [Free]
Frame 249: [Free]
Frame 250: [Free]
Frame 251: [Free]
Frame 252: [Free]
Frame 253: [Free]
Frame 254: [Free]
Frame 255: [Free]
Frame 256: [Free]
Frame 257: [Free]
Frame 258: [Free]
Frame 259: [Free]
Frame 260: [Free]
Frame 261: [Free]
Frame 262: [Free]
Frame 263: [Free]
Frame 264: [Free]
Frame 265: [Free]
Frame 266: [Free]
Frame 267: [Free]
Frame 268: [Free]
Frame 269: [Free]
Frame 270: [Free]
Frame 271: [Free]
Frame 272: [Free]
Frame 273: [Free]
Frame 274: [Free]
Frame 275: [Free]
Frame 276: [Free]
Frame 277: [Free]
Frame 278: [Free]
Frame 279: [Free]
Frame 280: [Free]
Frame 281: [Free]
Frame 282: [Free]
Frame 283: [Free]
Frame 284: [Free]
Frame 285: [Free]
Frame 286: [Free]
Frame 287: [Free]
Frame 288: [Free]
Frame 289: [Free]
Frame 290: [Free]
Frame 291: [Free]
Frame 292: [Free]
Frame 293: [Free]
Frame 294: [Free]
Frame 295: [Free]
Frame 296: [Free]
Frame 297: [Free]
Frame 298: [Free]
Frame 299: [Free]
Frame 300: [Free]
Frame 301: [Free]
Frame 302: [Free]
Frame 303: [Free]
Frame 304: [Free]
Frame 305: [Free]
Frame 306: [Free]
Frame 307: [Free]
Frame 308: [Free]
Frame 309: [Free]
Frame 310: [Free]
Frame 311: [Free]
Frame 312: [Free]
Frame 313: [Free]
Frame 314: [Free]
Frame 315: [Free]
Frame 316: [Free]
Frame 317: [Free]
Frame 318: [Free]
Frame 319: [Free]
Frame 320: [Free]
Frame 321: [Free]
Frame 322: [Free]
Frame 323: [Free]
Frame 324: [Free]
Frame 325: [Free]
Frame 326: [Free]
Frame 327: [Free]
Frame 328: [Free]
Frame 329: [Free]
Frame 330: [Free]
Frame 331: [Free]
Frame 332: [Free]
Frame 333: [Free]
Frame 334: [Free]
Frame 335: [Free]
Frame 336: [Free]
Frame 337: [Free]
Frame 338: [Free]
Frame 339: [Free]
Frame 340: [Free]
Frame 341: [Free]
Frame 342: [Free]
Frame 343: [Free]
Frame 344: [Free]
Frame 345: [Free]
Frame 346: [Free]
Frame 347: [Free]
Frame 348: [Free]
Frame 349: [Free]
Frame 350: [Free]
Frame 351: [Free]
Frame 352: [Free]
Frame 353: [Free]
Frame 354: [Free]
Frame 355: [Free]
Frame 356: [Free]
Frame 357: [Free]
Frame 358: [Free]
Frame 359: [Free]
Frame 360: [Free]
Frame 361: [Free]
Frame 362: [Free]
Frame 363: [Free]
Frame 364: [Free]
Frame 365: [Free]
Frame 366: [Free]
Frame 367: [Free]
Frame 368: [Free]
Frame 369: [Free]
Frame 370: [Free]
Frame 371: [Free]
Frame 372: [Free]
Frame 373: [Free]
Frame 374: [Free]
Frame 375: [Free]
Frame 376: [Free]
Frame 377: [Free]
Frame 378: [Free]
Frame 379: [Free]
Frame 380: [Free]
Frame 381: [Free]
Frame 382: [Free]
Frame 383: [Free]
Frame 384: [Free]
Frame 385: [Free]
Frame 386: [Free]
Frame 387: [Free]
Frame 388: [Free]
Frame 389: [Free]
Frame 390: [Free]
Frame 391: [Free]
Frame 392: [Free]
Frame 393: [Free]
Frame 394: [Free]
Frame 395: [Free]
Frame 396: [Free]
Frame 397: [Free]
Frame 398: [Free]
Frame 399: [Free]
Frame 400: [Free]
Frame 401: [Free]
Frame 402: [Free]
Frame 403: [Free]
Frame 404: [Free]
Frame 405: [Free]
Frame 406: [Free]
Frame 407: [Free]
Frame 408: [Free]
Frame 409: [Free]
Frame 410: [Free]
Frame 411: [Free]
Frame 412: [Free]
Frame 413: [Free]
Frame 414: [Free]
Frame 415: [Free]
Frame 416: [Free]
Frame 417: [Free]
Frame 418: [Free]
Frame 419: [Free]
Frame 420: [Free]
Frame 421: [Free]
Frame 422: [Free]
Frame 423: [Free]
Frame 424: [Free]
Frame 425: [Free]
Frame 426: [Free]
Frame 427: [Free]
Frame 428: [Free]
Frame 429: [Free]
Frame 430: [Free]
Frame 431: [Free]
Frame 432: [Free]
Frame 433: [Free]
Frame 434: [Free]
Frame 435: [Free]
Frame 436: [Free]
Frame 437: [Free]
Frame 438: [Free]
Frame 439: [Free]
Frame 440: [Free]
Frame 441: [Free]
Frame 442: [Free]
Frame 443: [Free]
Frame 444: [Free]
Frame 445: [Free]
Frame 446: [Free]
Frame 447: [Free]
Frame 448: [Free]
Frame 449: [Free]
Frame 450: [Free]
Frame 451: [Free]
Frame 452: [Free]
Frame 453: [Free]
Frame 454: [Free]
Frame 455: [Free]
Frame 456: [Free]
Frame 457: [Free]
Frame 458: [Free]
Frame 459: [Free]
Frame 460: [Free]
Frame 461: [Free]
Frame 462: [Free]
Frame 463: [Free]
Frame 464: [Free]
Frame 465: [Free]
Frame 466: [Free]
Frame 467: [Free]
Frame 468: [Free]
Frame 469: [Free]
Frame 470: [Free]
Frame 471: [Free]
Frame 472: [Free]
Frame 473: [Free]
Frame 474: [Free]
Frame 475: [Free]
Frame 476: [Free]
Frame 477: [Free]
Frame 478: [Free]
Frame 479: [Free]
Frame 480: [Free]
Frame 481: [Free]
Frame 482: [Free]
Frame 483: [Free]
Frame 484: [Free]
Frame 485: [Free]
Frame 486: [Free]
Frame 487: [Free]
Frame 488: [Free]
Frame 489: [Free]
Frame 490: [Free]
Frame 491: [Free]
Frame 492: [Free]
Frame 493: [Free]
Frame 494: [Free]
Frame 495: [Free]
Frame 496: [Free]
Frame 497: [Free]
Frame 498: [Free]
Frame 499: [Free]
Frame 500: [Free]
Frame 501: [Free]
Frame 502: [Free]
Frame 503: [Free]
Frame 504: [Free]
Frame 505: [Free]
Frame 506: [Free]
Frame 507: [Free]
Frame 508: [Free]
Frame 509: [Free]
Frame 510: [Free]
Frame 511: [Free]
Frame 512: [Free]
Frame 513: [Free]
Frame 514: [Free]
Frame 515: [Free]
Frame 516: [Free]
Frame 517: [Free]
Frame 518: [Free]
Frame 519: [Free]
Frame 520: [Free]
Frame 521: [Free]
Frame 522: [Free]
Frame 523: [Free]
Frame 524: [Free]
Frame 525: [Free]
Frame 526: [Free]
Frame 527: [Free]
Frame 528: [Free]
Frame 529: [Free]
Frame 530: [Free]
Frame 531: [Free]
Frame 532: [Free]
Frame 533: [Free]
Frame 534: [Free]
Frame 535: [Free]
Frame 536: [Free]
Frame 537: [Free]
Frame 538: [Free]
Frame 539: [Free]
Frame 540: [Free]
Frame 541: [Free]
Frame 542: [Free]
Frame 543: [Free]
Frame 544: [Free]
Frame 545: [Free]
Frame 546: [Free]
Frame 547: [Free]
Frame 548: [Free]
Frame 549: [Free]
Frame 550: [Free]
Frame 551: [Free]
Frame 552: [Free]
Frame 553: [Free]
Frame 554: [Free]
Frame 555: [Free]
Frame 556: [Free]
Frame 557: [Free]
Frame 558: [Free]
Frame 559: [Free]
Frame 560: [Free]
Frame 561: [Free]
Frame 562: [Free]
Frame 563: [Free]
Frame 564: [Free]
Frame 565: [Free]
Frame 566: [Free]
Frame 567: [Free]
Frame 568: [Free]
Frame 569: [Free]
Frame 570: [Free]
Frame 571: [Free]
Frame 572: [Free]
Frame 573: [Free]
Frame 574: [Free]
Frame 575: [Free]
Frame 576: [Free]
Frame 577: [Free]
Frame 578: [Free]
Frame 579: [Free]
Frame 580: [Free]
Frame 581: [Free]
Frame 582: [Free]
Frame 583: [Free]
Frame 584: [Free]
Frame 585: [Free]
Frame 586: [Free]
Frame 587: [Free]
Frame 588: [Free]
Frame 589: [Free]
Frame 590: [Free]
Frame 591: [Free]
Frame 592: [Free]
Frame 593: [Free]
Frame 594: [Free]
Frame 595: [Free]
Frame 596: [Free]
Frame 597: [Free]
Frame 598: [Free]
Frame 599: [Free]
Frame 600: [Free]
Frame 601: [Free]
Frame 602: [Free]
Frame 603: [Free]
Frame 604: [Free]
Frame 605: [Free]
Frame 606: [Free]
Frame 607: [Free]
Frame 608: [Free]
Frame 609: [Free]
Frame 610: [Free]
Frame 611: [Free]
Frame 612: [Free]
Frame 613: [Free]
Frame 614: [Free]
Frame 615: [Free]
Frame 616: [Free]
Frame 617: [Free]
Frame 618: [Free]
Frame 619: [Free]
Frame 620: [Free]
Frame 621: [Free]
Frame 622: [Free]
Frame 623: [Free]
Frame 624: [Free]
Frame 625: [Free]
Frame 626: [Free]
Frame 627: [Free]
Frame 628: [Free]
Frame 629: [Free]
Frame 630: [Free]
Frame 631: [Free]
Frame 632: [Free]
Frame 633: [Free]
Frame 634: [Free]
Frame 635: [Free]
Frame 636: [Free]
Frame 637: [Free]
Frame 638: [Free]
Frame 639: [Free]
Frame 640: [Free]
Frame 641: [Free]
Frame 642: [Free]
Frame 643: [Free]
Frame 644: [Free]
Frame 645: [Free]
Frame 646: [Free]
Frame 647: [Free]
Frame 648: [Free]
Frame 649: [Free]
Frame 650: [Free]
Frame 651: [Free]
Frame 652: [Free]
Frame 653: [Free]
Frame 654: [Free]
Frame 655: [Free]
Frame 656: [Free]
Frame 657: [Free]
Frame 658: [Free]
Frame 659: [Free]
Frame 660: [Free]
Frame 661: [Free]
Frame 662: [Free]
Frame 663: [Free]
Frame 664: [Free]
Frame 665: [Free]
Frame 666: [Free]
Frame 667: [Free]
Frame 668: [Free]
Frame 669: [Free]
Frame 670: [Free]
Frame 671: [Free]
Frame 672: [Free]
Frame 673: [Free]
Frame 674: [Free]
Frame 675: [Free]
Frame 676: [Free]
Frame 677: [Free]
Frame 678: [Free]
Frame 679: [Free]
Frame 680: [Free]
Frame 681: [Free]
Frame 682: [Free]
Frame 683: [Free]
Frame 684: [Free]
Frame 685: [Free]
Frame 686: [Free]
Frame 687: [Free]
Frame 688: [Free]
Frame 689: [Free]
Frame 690: [Free]
Frame 691: [Free]
Frame 692: [Free]
Frame 693: [Free]
Frame 694: [Free]
Frame 695: [Free]
Frame 696: [Free]
Frame 697: [Free]
Frame 698: [Free]
Frame 699: [Free]
Frame 700: [Free]
Frame 701: [Free]
Frame 702: [Free]
